color_a,color_b,shared_paintings
#282a23,#d4a824,2
#282a23,#212a07,3
#282a23,#d4b1ba,2
#282a23,#152a1a,1
#282a23,#166680,1
#282a23,#405080,3
#706b80,#28232a,9
#706b80,#2a2328,12
#706b80,#7b6b80,82
#706b80,#806b70,65
#706b80,#806b7b,57
#706b80,#803116,11
#706b80,#805040,60
#706b80,#807040,39
#706b80,#80706b,142
#706b80,#d4bab1,122
#706b80,#6b7080,151
#706b80,#b1bad4,110
#706b80,#bab1d4,101
#706b80,#d4ba6a,22
#706b80,#d4cbb1,81
#706b80,#6b7b80,22
#706b80,#b1cbd4,12
#706b80,#405080,38
#706b80,#d4b1ba,41
#706b80,#d4856a,14
#706b80,#2a2515,10
#706b80,#2a2523,16
#706b80,#2a2823,11
#706b80,#807b6b,76
#706b80,#6a85d4,10
#706b80,#cbd4b1,19
#706b80,#23282a,3
#706b80,#232a25,3
#706b80,#232a28,3
#706b80,#252a23,2
#706b80,#806616,6
#706b80,#151a2a,11
#706b80,#25232a,24
#706b80,#1a152a,18
#706b80,#2a2325,8
#706b80,#70806b,3
#706b80,#cbb1d4,36
#706b80,#d4b1cb,25
#706b80,#407080,3
#706b80,#d45124,1
#706b80,#166680,1
#706b80,#b1d4ba,1
#706b80,#b1d4cb,2
#706b80,#bad4b1,1
#706b80,#25152a,3
#706b80,#2a151a,8
#706b80,#2a1525,4
#706b80,#152a1a,1
#706b80,#152a25,1
#706b80,#6b807b,3
#706b80,#708040,4
#706b80,#163180,2
#706b80,#2a2107,3
#706b80,#252a15,2
#b1bad4,#6b7080,314
#b1bad4,#6b7b80,161
#b1bad4,#80706b,313
#b1bad4,#807b6b,369
#b1bad4,#b1cbd4,475
#b1bad4,#d4cbb1,638
#b1bad4,#6b807b,32
#b1bad4,#70806b,41
#b1bad4,#cbd4b1,190
#b1bad4,#d4bab1,468
#b1bad4,#6a85d4,185
#b1bad4,#d4ba6a,244
#b1bad4,#bab1d4,337
#b1bad4,#407080,50
#b1bad4,#6abad4,40
#b1bad4,#bad46a,14
#b1bad4,#805040,196
#b1bad4,#807040,375
#b1bad4,#d4856a,84
#b1bad4,#708040,103
#b1bad4,#405080,117
#b1bad4,#508040,14
#b1bad4,#163180,19
#b1bad4,#cbb1d4,79
#b1bad4,#d4b1ba,63
#b1bad4,#806616,83
#b1bad4,#d4b1cb,47
#b1bad4,#b1d4cb,71
#b1bad4,#b1d4ba,37
#b1bad4,#1a152a,7
#b1bad4,#152a25,4
#b1bad4,#151a2a,22
#b1bad4,#252a15,29
#b1bad4,#803116,32
#b1bad4,#d45124,7
#b1bad4,#7b6b80,27
#b1bad4,#806b70,38
#b1bad4,#806b7b,24
#b1bad4,#2a2515,66
#b1bad4,#d4a824,30
#b1bad4,#1a2a15,8
#b1bad4,#252a23,7
#b1bad4,#2a2823,48
#b1bad4,#232a25,7
#b1bad4,#232a28,13
#b1bad4,#2a2523,48
#b1bad4,#23282a,17
#b1bad4,#2a2107,36
#b1bad4,#15252a,21
#b1bad4,#25232a,9
#b1bad4,#2a2325,11
#b1bad4,#2a2328,4
#b1bad4,#28232a,4
#b1bad4,#bad4b1,35
#b1bad4,#408070,3
#b1bad4,#2a0710,1
#b1bad4,#2a151a,13
#b1bad4,#166680,5
#b1bad4,#668016,12
#b1bad4,#212a07,10
#b1bad4,#2a1525,6
#b1bad4,#25152a,3
#b1bad4,#804050,6
#b1bad4,#152a1a,1
#806b7b,#28232a,7
#806b7b,#2a2328,14
#806b7b,#7b6b80,80
#806b7b,#806b70,91
#806b7b,#d4856a,14
#806b7b,#d4b1ba,51
#806b7b,#d4b1cb,27
#806b7b,#d4bab1,76
#806b7b,#d4cbb1,20
#806b7b,#6b7080,29
#806b7b,#805040,36
#806b7b,#80706b,82
#806b7b,#bab1d4,35
#806b7b,#2a151a,13
#806b7b,#804050,7
#806b7b,#d4ba6a,5
#806b7b,#807040,8
#806b7b,#cbb1d4,25
#806b7b,#405080,5
#806b7b,#1a152a,2
#806b7b,#2a2325,13
#806b7b,#2a2523,12
#806b7b,#25232a,7
#806b7b,#2a2823,1
#806b7b,#807b6b,15
#806b7b,#cbd4b1,2
#806b7b,#25152a,2
#806b7b,#2a1525,4
#806b7b,#2a0710,1
#806b7b,#151a2a,2
#806b7b,#70806b,1
#806b7b,#b1cbd4,2
#806b7b,#2a2515,7
#806b7b,#803116,4
#806b7b,#6a85d4,1
#806b7b,#806616,2
#806b7b,#2a2107,2
#806b7b,#6b7b80,1
#23282a,#2a2823,25
#23282a,#805040,24
#23282a,#80706b,34
#23282a,#807b6b,53
#23282a,#cbd4b1,4
#23282a,#d4ba6a,17
#23282a,#d4cbb1,43
#23282a,#232a25,19
#23282a,#232a28,45
#23282a,#806616,2
#23282a,#807040,28
#23282a,#151a2a,16
#23282a,#405080,10
#23282a,#6b7080,26
#23282a,#6b7b80,31
#23282a,#d4856a,8
#23282a,#2a2523,21
#23282a,#252a23,18
#23282a,#d4bab1,19
#23282a,#2a2325,7
#23282a,#2a2328,5
#23282a,#804050,1
#23282a,#15252a,24
#23282a,#6b807b,11
#23282a,#b1cbd4,14
#23282a,#b1d4cb,3
#23282a,#252a15,2
#23282a,#407080,7
#23282a,#2a2515,6
#23282a,#803116,2
#23282a,#6a85d4,3
#23282a,#70806b,6
#23282a,#25232a,4
#23282a,#bab1d4,6
#23282a,#806b70,3
#23282a,#163180,1
#23282a,#1a152a,2
#23282a,#708040,1
#23282a,#28232a,2
#23282a,#cbb1d4,1
#23282a,#25152a,1
#23282a,#d45124,1
#23282a,#152a25,3
#23282a,#d4b1ba,2
#23282a,#2a2107,1
#7b6b80,#28232a,6
#7b6b80,#2a2328,9
#7b6b80,#806b70,62
#7b6b80,#6b7080,41
#7b6b80,#805040,34
#7b6b80,#80706b,69
#7b6b80,#bab1d4,46
#7b6b80,#807040,10
#7b6b80,#d4856a,10
#7b6b80,#d4bab1,64
#7b6b80,#d4cbb1,21
#7b6b80,#d4b1ba,42
#7b6b80,#d4ba6a,5
#7b6b80,#70806b,2
#7b6b80,#807b6b,17
#7b6b80,#cbb1d4,30
#7b6b80,#d4b1cb,27
#7b6b80,#405080,7
#7b6b80,#1a152a,5
#7b6b80,#804050,4
#7b6b80,#25232a,7
#7b6b80,#2a2325,9
#7b6b80,#cbd4b1,4
#7b6b80,#b1d4ba,1
#7b6b80,#b1d4cb,1
#7b6b80,#bad4b1,1
#7b6b80,#b1cbd4,3
#7b6b80,#2a151a,10
#7b6b80,#803116,7
#7b6b80,#2a0710,1
#7b6b80,#2a1525,2
#7b6b80,#2a2523,6
#7b6b80,#2a2515,8
#7b6b80,#151a2a,2
#7b6b80,#d45124,2
#7b6b80,#806616,3
#7b6b80,#2a2107,2
#7b6b80,#6a85d4,2
#7b6b80,#6b7b80,1
#d4a824,#805040,72
#d4a824,#807040,147
#d4a824,#d4856a,61
#d4a824,#d4ba6a,221
#d4a824,#803116,90
#d4a824,#d45124,57
#d4a824,#d4bab1,48
#d4a824,#d4cbb1,136
#d4a824,#b1cbd4,30
#d4a824,#cbd4b1,38
#d4a824,#2a2515,24
#d4a824,#708040,33
#d4a824,#2a2107,26
#d4a824,#806616,133
#d4a824,#807b6b,28
#d4a824,#252a15,7
#d4a824,#806b70,1
#d4a824,#80706b,11
#d4a824,#2a0710,4
#d4a824,#212a07,4
#d4a824,#15252a,1
#d4a824,#405080,3
#d4a824,#2a2523,5
#d4a824,#2a2823,4
#d4a824,#2a151a,8
#d4a824,#bad46a,21
#d4a824,#6a85d4,9
#d4a824,#6b7b80,3
#d4a824,#6b807b,3
#d4a824,#6abad4,9
#d4a824,#668016,15
#d4a824,#804050,3
#d4a824,#151a2a,1
#d4a824,#407080,1
#d4a824,#6b7080,1
#d4a824,#b1d4ba,4
#d4a824,#b1d4cb,8
#d4a824,#bad4b1,10
#d4a824,#508040,5
#d4a824,#bab1d4,10
#d4a824,#1a152a,1
#d4a824,#25152a,1
#d4a824,#28232a,1
#d4a824,#2a1525,1
#d4a824,#70806b,3
#d4a824,#cbb1d4,1
#d4a824,#232a25,1
#d4a824,#252a23,1
#d4a824,#d4b1ba,1
#166680,#805040,2
#166680,#807040,2
#166680,#80706b,3
#166680,#807b6b,4
#166680,#d4bab1,3
#166680,#d4cbb1,8
#166680,#163180,6
#166680,#407080,19
#166680,#151a2a,1
#166680,#15252a,2
#166680,#6abad4,14
#166680,#152a25,1
#166680,#6b7b80,3
#166680,#6b807b,2
#166680,#b1cbd4,15
#166680,#405080,4
#166680,#6b7080,2
#166680,#d4856a,1
#166680,#408070,4
#166680,#708040,1
#166680,#d4ba6a,3
#166680,#b1d4ba,2
#166680,#b1d4cb,4
#166680,#2a2823,1
#166680,#6a85d4,5
#166680,#bad4b1,1
#d4b1cb,#d4856a,17
#d4b1cb,#d4b1ba,99
#d4b1cb,#d4bab1,105
#d4b1cb,#d4cbb1,45
#d4b1cb,#806616,4
#d4b1cb,#bab1d4,78
#d4b1cb,#cbb1d4,81
#d4b1cb,#804050,8
#d4b1cb,#806b70,28
#d4b1cb,#d45124,2
#d4b1cb,#2a1525,3
#d4b1cb,#2a2523,11
#d4b1cb,#805040,34
#d4b1cb,#d4ba6a,8
#d4b1cb,#6b7080,13
#d4b1cb,#80706b,48
#d4b1cb,#405080,6
#d4b1cb,#2a151a,5
#d4b1cb,#2a2325,4
#d4b1cb,#2a2328,2
#d4b1cb,#6a85d4,6
#d4b1cb,#6abad4,1
#d4b1cb,#b1cbd4,6
#d4b1cb,#803116,7
#d4b1cb,#cbd4b1,2
#d4b1cb,#708040,2
#d4b1cb,#807b6b,14
#d4b1cb,#807040,15
#d4b1cb,#2a0710,3
#d4b1cb,#1a152a,2
#d4b1cb,#25152a,1
#d4b1cb,#70806b,3
#d4b1cb,#6b7b80,3
#d4b1cb,#2a2515,3
#d4b1cb,#6b807b,2
#d4b1cb,#b1d4cb,1
#d4b1cb,#15252a,1
#d4b1cb,#407080,1
#d4b1cb,#2a2107,1
#d4b1cb,#2a2823,2
#d4bab1,#2a2515,131
#d4bab1,#803116,183
#d4bab1,#805040,772
#d4bab1,#d4856a,474
#d4bab1,#d4ba6a,490
#d4bab1,#d4cbb1,1218
#d4bab1,#80706b,884
#d4bab1,#807b6b,571
#d4bab1,#2a2523,189
#d4bab1,#2a2823,93
#d4bab1,#807040,553
#d4bab1,#2a0710,19
#d4bab1,#806616,114
#d4bab1,#d45124,60
#d4bab1,#2a2325,50
#d4bab1,#6b7b80,88
#d4bab1,#b1cbd4,170
#d4bab1,#cbd4b1,170
#d4bab1,#708040,64
#d4bab1,#405080,72
#d4bab1,#508040,8
#d4bab1,#6a85d4,57
#d4bab1,#bab1d4,286
#d4bab1,#6b7080,180
#d4bab1,#2a151a,93
#d4bab1,#804050,35
#d4bab1,#d4b1ba,242
#d4bab1,#163180,9
#d4bab1,#cbb1d4,113
#d4bab1,#407080,30
#d4bab1,#6b807b,24
#d4bab1,#bad46a,6
#d4bab1,#1a152a,23
#d4bab1,#15252a,24
#d4bab1,#70806b,22
#d4bab1,#806b70,175
#d4bab1,#25232a,38
#d4bab1,#28232a,24
#d4bab1,#2a2328,36
#d4bab1,#151a2a,21
#d4bab1,#408070,5
#d4bab1,#2a2107,39
#d4bab1,#252a23,14
#d4bab1,#232a25,11
#d4bab1,#232a28,14
#d4bab1,#252a15,23
#d4bab1,#2a1525,26
#d4bab1,#25152a,12
#d4bab1,#212a07,3
#d4bab1,#b1d4ba,19
#d4bab1,#6abad4,16
#d4bab1,#b1d4cb,37
#d4bab1,#668016,9
#d4bab1,#bad4b1,20
#d4bab1,#1a2a15,4
#d4bab1,#152a25,7
#d4bab1,#152a1a,1
#2a2823,#2a2515,232
#2a2823,#805040,154
#2a2823,#807040,241
#2a2823,#d4856a,34
#2a2823,#d4ba6a,83
#2a2823,#2a2523,256
#2a2823,#80706b,167
#2a2823,#807b6b,318
#2a2823,#d4cbb1,223
#2a2823,#2a2325,24
#2a2823,#252a15,38
#2a2823,#6abad4,4
#2a2823,#803116,22
#2a2823,#cbd4b1,44
#2a2823,#708040,25
#2a2823,#70806b,20
#2a2823,#bad46a,5
#2a2823,#252a23,36
#2a2823,#2a2107,17
#2a2823,#806616,8
#2a2823,#d4b1ba,6
#2a2823,#d45124,6
#2a2823,#6b7080,42
#2a2823,#151a2a,11
#2a2823,#15252a,8
#2a2823,#405080,9
#2a2823,#407080,6
#2a2823,#6b7b80,29
#2a2823,#232a28,24
#2a2823,#b1cbd4,25
#2a2823,#232a25,29
#2a2823,#806b70,5
#2a2823,#2a2328,22
#2a2823,#2a151a,7
#2a2823,#152a25,4
#2a2823,#25232a,13
#2a2823,#bab1d4,22
#2a2823,#804050,1
#2a2823,#28232a,5
#2a2823,#508040,1
#2a2823,#6b807b,13
#2a2823,#6a85d4,3
#2a2823,#b1d4ba,4
#2a2823,#bad4b1,6
#2a2823,#cbb1d4,5
#2a2823,#1a152a,2
#2a2823,#b1d4cb,10
#2a2823,#25152a,1
#2a2823,#212a07,3
#804050,#2a151a,30
#804050,#2a2523,5
#804050,#805040,57
#804050,#80706b,19
#804050,#d4856a,42
#804050,#d4b1ba,19
#804050,#2a0710,7
#804050,#806b70,19
#804050,#807b6b,7
#804050,#d4cbb1,15
#804050,#6b7080,2
#804050,#807040,10
#804050,#cbd4b1,4
#804050,#bab1d4,3
#804050,#cbb1d4,5
#804050,#d45124,4
#804050,#2a2325,5
#804050,#2a2328,7
#804050,#25232a,3
#804050,#28232a,5
#804050,#d4ba6a,16
#804050,#405080,1
#804050,#6a85d4,1
#804050,#1a152a,6
#804050,#803116,13
#804050,#b1cbd4,6
#804050,#25152a,3
#804050,#2a1525,7
#804050,#806616,3
#804050,#151a2a,2
#804050,#15252a,1
#804050,#408070,1
#804050,#70806b,1
#804050,#407080,1
#804050,#2a2515,1
#804050,#b1d4ba,1
#804050,#b1d4cb,2
#804050,#bad4b1,1
#252a23,#2a2523,15
#252a23,#805040,18
#252a23,#80706b,14
#252a23,#232a25,45
#252a23,#232a28,34
#252a23,#2a2515,31
#252a23,#407080,1
#252a23,#d4cbb1,30
#252a23,#807040,41
#252a23,#d4856a,6
#252a23,#252a15,27
#252a23,#708040,12
#252a23,#806616,4
#252a23,#1a2a15,8
#252a23,#807b6b,47
#252a23,#d4ba6a,16
#252a23,#6b7080,4
#252a23,#151a2a,2
#252a23,#803116,7
#252a23,#15252a,5
#252a23,#152a25,6
#252a23,#6b7b80,6
#252a23,#70806b,18
#252a23,#806b70,1
#252a23,#6b807b,4
#252a23,#2a2325,1
#252a23,#cbd4b1,11
#252a23,#152a1a,5
#252a23,#b1d4cb,3
#252a23,#212a07,1
#252a23,#508040,2
#252a23,#bad4b1,2
#252a23,#25152a,1
#252a23,#25232a,1
#252a23,#28232a,1
#252a23,#2a2328,1
#252a23,#d45124,3
#252a23,#2a2107,3
#252a23,#bab1d4,2
#252a23,#6a85d4,2
#252a23,#b1cbd4,6
#252a23,#b1d4ba,1
#252a23,#6abad4,1
#252a23,#405080,1
#b1d4ba,#6b7b80,25
#b1d4ba,#6b807b,33
#b1d4ba,#b1cbd4,126
#b1d4ba,#b1d4cb,168
#b1d4ba,#bad4b1,171
#b1d4ba,#cbd4b1,173
#b1d4ba,#151a2a,3
#b1d4ba,#807b6b,52
#b1d4ba,#d4cbb1,128
#b1d4ba,#708040,31
#b1d4ba,#807040,63
#b1d4ba,#d4ba6a,54
#b1d4ba,#70806b,35
#b1d4ba,#407080,15
#b1d4ba,#15252a,2
#b1d4ba,#6abad4,15
#b1d4ba,#805040,17
#b1d4ba,#80706b,12
#b1d4ba,#2a2515,15
#b1d4ba,#bad46a,10
#b1d4ba,#d4856a,7
#b1d4ba,#bab1d4,2
#b1d4ba,#803116,4
#b1d4ba,#408070,7
#b1d4ba,#6a85d4,6
#b1d4ba,#152a25,3
#b1d4ba,#6b7080,7
#b1d4ba,#806616,14
#b1d4ba,#2a2107,5
#b1d4ba,#508040,7
#b1d4ba,#232a25,4
#b1d4ba,#232a28,2
#b1d4ba,#806b70,1
