node_id,node_type,label,degree
painting::Artists2/Eustache Le Sueur/Death Of St Bruno.jpg,painting,Death Of St Bruno,8
painting::Artists2/Eustache Le Sueur/Christ Healing The Blind Man.jpg,painting,Christ Healing The Blind Man,7
painting::Artists2/Eustache Le Sueur/The Muse Terpsichore 1655.jpg,painting,The Muse Terpsichore 1655,9
painting::Artists2/Eustache Le Sueur/Melpomene Erato And Polyhymnia 1655.jpg,painting,Melpomene Erato And Polyhymnia 1655,6
color::#d45124,color,#d45124,155
painting::Artists2/Eustache Le Sueur/St Gervase And St Protase Brought Before Anastasius.jpg,painting,St Gervase And St Protase Brought Before Anastasius,8
painting::Artists2/Eustache Le Sueur/Deposition From The Cross.jpg,painting,Deposition From The Cross,8
painting::Artists2/Eustache Le Sueur/Abduction Of Ganymede.jpg,painting,Abduction Of Ganymede,11
painting::Artists2/Eustache Le Sueur/The Birth Of Cupid 1647.jpg,painting,The Birth Of Cupid 1647,7
painting::Artists2/Eustache Le Sueur/Cupid Ordering Mercury To Announce His Power To The Universe 1647.jpg,painting,Cupid Ordering Mercury To Announce His Power To The Universe 1647,7
color::#6b7080,color,#6b7080,51
painting::Artists2/Eustache Le Sueur/Caligula Depositing The Ashes Of His Mother And Brother In The Tomb Of His Ancestors.jpg,painting,Caligula Depositing The Ashes Of His Mother And Brother In The Tomb Of His Ancestors,6
color::#706b80,color,#706b80,40
painting::Artists2/Eustache Le Sueur/Presentation Of The Virgin In The Temple.jpg,painting,Presentation Of The Virgin In The Temple,4
painting::Artists2/Eustache Le Sueur/A Gathering Of Friends 1642.jpg,painting,A Gathering Of Friends 1642,9
painting::Artists2/Eustache Le Sueur/Clio Euterpe And Thalia.jpg,painting,Clio Euterpe And Thalia,8
painting::Artists2/Eustache Le Sueur/Portrait Of A Young Man.jpg,painting,Portrait Of A Young Man,7
painting::Artists2/Eustache Le Sueur/The Virgin And Child With Saint John The Baptist.jpg,painting,The Virgin And Child With Saint John The Baptist,10
painting::Artists2/Cornelis De Vos/Portrait Of The Artist S Daughter.jpg,painting,Portrait Of The Artist S Daughter,6
painting::Artists2/Cornelis De Vos/Family Portrait.jpg,painting,Family Portrait,4
painting::Artists2/Cornelis De Vos/Salbung Salomos.jpg,painting,Salbung Salomos,8
painting::Artists2/Cornelis De Vos/Fish Market.jpg,painting,Fish Market,8
painting::Artists2/Cornelis De Vos/Portrait Of A Lady.jpg,painting,Portrait Of A Lady,6
painting::Artists2/Cornelis De Vos/Elisabeth Or Cornelia Vekemans As A Young Girl.jpg,painting,Elisabeth Or Cornelia Vekemans As A Young Girl,7
painting::Artists2/Cornelis De Vos/Portrait Of Elisabeth Mertens And Her Late Husband.jpg,painting,Portrait Of Elisabeth Mertens And Her Late Husband,6
color::#28232a,color,#28232a,223
painting::Artists2/Cornelis De Vos/Portrait Of The Artist With His Family.jpg,painting,Portrait Of The Artist With His Family,7
painting::Artists2/Cornelis De Vos/Portrait Of Abraham Grapheus.jpg,painting,Portrait Of Abraham Grapheus,8
painting::Artists2/Cornelis De Vos/The Birth Of Jesus.jpg,painting,The Birth Of Jesus,9
painting::Artists2/Ivan Nikitin/Portrait Of Peter The Great.jpg,painting,Portrait Of Peter The Great,8
painting::Artists2/Alexey Zubov/The Bringing Of 4 Swedish Frigates In St Petersburg After The Victory In The Battle Of Grengam.jpg,painting,The Bringing Of 4 Swedish Frigates In St Petersburg After The Victory In The Battle Of Grengam,7
color::#7b6b80,color,#7b6b80,18
color::#bab1d4,color,#bab1d4,36
painting::Artists2/Alexey Zubov/St Petersburg View Of The Peter And Paul Fortress 1727.jpg,painting,St Petersburg View Of The Peter And Paul Fortress 1727,8
color::#b1d4cb,color,#b1d4cb,37
painting::Artists2/Alexey Zubov/Boat Of Peter I 1722.jpg,painting,Boat Of Peter I 1722,3
painting::Artists2/Alexey Zubov/The Battle Of Grengam June 27 1720 1721.jpg,painting,The Battle Of Grengam June 27 1720 1721,6
color::#cbd4b1,color,#cbd4b1,111
painting::Artists2/Alexey Zubov/Portrait Of I M Golovin 1720.jpg,painting,Portrait Of I M Golovin 1720,5
painting::Artists2/Alexey Zubov/View Of The Summer Gardens From The Neva River 1717.jpg,painting,View Of The Summer Gardens From The Neva River 1717,3
painting::Artists2/Alexey Zubov/View Of A Menshikov S Palace On Vasilievsky Island 1717.jpg,painting,View Of A Menshikov S Palace On Vasilievsky Island 1717,11
color::#806b7b,color,#806b7b,25
painting::Artists2/Alexey Zubov/Catherinehof 1716.jpg,painting,Catherinehof 1716,5
painting::Artists2/Alexey Zubov/St Petersburg View Of The Winter Palace Of Peter I 1716.jpg,painting,St Petersburg View Of The Winter Palace Of Peter I 1716,7
painting::Artists2/Alexey Zubov/Panoramic View Of St Petersburg 1716.jpg,painting,Panoramic View Of St Petersburg 1716,5
painting::Artists2/Alexey Zubov/The Bringing Of The Swedish Ships To St Petersburg After The Victory In The Battle Of Gangut.jpg,painting,The Bringing Of The Swedish Ships To St Petersburg After The Victory In The Battle Of Gangut,7
color::#cbb1d4,color,#cbb1d4,14
color::#806b70,color,#806b70,85
painting::Artists2/Alexey Zubov/Battle Of Gangut June 27 1714 1715.jpg,painting,Battle Of Gangut June 27 1714 1715,5
painting::Artists2/Alexey Zubov/The Wedding Feast Of Peter I And Catherine In The Winter Palace Of Peter I In St Petersburg On 1712.jpg,painting,The Wedding Feast Of Peter I And Catherine In The Winter Palace Of Peter I In St Petersburg On 1712,6
