source,target,weight
newspapers,words,1
food-and-beverages,furniture-and-decoration,1
food-and-beverages,taverns-and-inns,1
furniture-and-decoration,women-and-mirrors,2
furniture-and-decoration,skeletons-and-skulls,1
furniture-and-decoration,doors-and-windows,5
furniture-and-decoration,taverns-and-inns,1
furniture-and-decoration,words,1
reading-and-writing,lamps-and-candles,1
reading-and-writing,Marie-Thérèse Walter,1
reading-and-writing,words,1
women-and-mirrors,families,1
women-and-mirrors,actors-and-performances,1
skeletons-and-skulls,lamps-and-candles,1
instruments-and-mechanisms,designs-and-sketches,1
characters-and-emotions,actors-and-performances,1
characters-and-emotions,families,1
characters-and-emotions,children,1
characters-and-emotions,taverns-and-inns,1
actors-and-performances,mother-and-child,2
actors-and-performances,walking,2
actors-and-performances,bulls,3
actors-and-performances,families,5
actors-and-performances,mealtimes,1
actors-and-performances,horses,3
mealtimes,mother-and-child,1
mealtimes,families,5
mealtimes,children,1
leisure-and-sleep,lamps-and-candles,1
leisure-and-sleep,designs-and-sketches,2
leisure-and-sleep,Marie-Thérèse Walter,1
families,mother-and-child,2
families,children,1
families,horses,1
horses,Minotaur,3
horses,bulls,10
horses,walking,1
horses,children,1
horses,hunting-and-racing,8
designs-and-sketches,Minotaur,1
designs-and-sketches,streets-and-squares,2
Marie-Thérèse Walter,Minotaur,1
Marie-Thérèse Walter,mother-and-child,1
walking,mother-and-child,2
walking,streets-and-squares,3
hunting-and-racing,bulls,11
bulls,Minotaur,1
bulls,lamps-and-candles,2
mother-and-child,children,1
