path,author_name,painting_name,image_url,x,y
Artists2/Fernand Leger/Audincourt Window 1.jpg,Fernand Leger,Audincourt Window 1,https://uploads4.wikiart.org/images/fernand-leger/audincourt-window-1.jpg!Large.jpg,-0.06805158313709773,0.015164480637863098
Artists2/Fernand Leger/Audincourt Window 2.jpg,Fernand Leger,Audincourt Window 2,https://uploads4.wikiart.org/images/fernand-leger/audincourt-window-2.jpg!Large.jpg,-0.06179701808663353,0.013724349267076134
Artists2/Fernand Leger/Audincourt Window.jpg,Fernand Leger,Audincourt Window,https://uploads2.wikiart.org/images/fernand-leger/audincourt-window.jpg!Large.jpg,-0.0666001872083468,0.014798232335189712
Artists2/Fernand Leger/Ball Bearing 1926.jpg,Fernand Leger,Ball Bearing 1926,https://uploads2.wikiart.org/images/fernand-leger/ball-bearing-1926.jpg!Large.jpg,0.0015548365148608308,-0.03471811210789863
Artists2/Fernand Leger/Birds On A Yellow Background 1.jpg,Fernand Leger,Birds On A Yellow Background 1,https://uploads6.wikiart.org/images/fernand-leger/birds-on-a-yellow-background-1.jpg!Large.jpg,-0.0011965884236549008,-0.008052016630056983
Artists2/Fernand Leger/Birds On A Yellow Background.jpg,Fernand Leger,Birds On A Yellow Background,https://uploads4.wikiart.org/images/fernand-leger/birds-on-a-yellow-background.jpg!Large.jpg,-0.002533598480774445,-0.011082016692866539
Artists2/Fernand Leger/Birthday Two Women 1950.jpg,Fernand Leger,Birthday Two Women 1950,https://uploads8.wikiart.org/images/fernand-leger/birthday-two-women-1950.jpg!Large.jpg,-0.03293522533014333,0.008689676678650553
Artists2/Fernand Leger/Blue Guitar And Vase 1926.jpg,Fernand Leger,Blue Guitar And Vase 1926,https://uploads1.wikiart.org/images/fernand-leger/blue-guitar-and-vase-1926.jpg!Large.jpg,0.003613835839904433,-0.03837163384537872
Artists2/Fernand Leger/Both Birds.jpg,Fernand Leger,Both Birds,https://uploads4.wikiart.org/images/fernand-leger/both-birds.jpg!Large.jpg,-0.038430254873460315,0.006199861055758313
Artists2/Fernand Leger/Both Sunflowers Sunflowers 1954.jpg,Fernand Leger,Both Sunflowers Sunflowers 1954,https://uploads7.wikiart.org/images/fernand-leger/both-sunflowers-sunflowers-1954.jpg!Large.jpg,0.00082532900992975,-0.033904069874579605
Artists2/Fernand Leger/Branch 1952 1.jpg,Fernand Leger,Branch 1952 1,https://uploads7.wikiart.org/images/fernand-leger/branch-1952-1.jpg!Large.jpg,-0.011012744910413748,-0.019799310830444807
Artists2/Fernand Leger/Branch 1952.jpg,Fernand Leger,Branch 1952,https://uploads5.wikiart.org/images/fernand-leger/branch-1952.jpg!Large.jpg,-0.008404554949853362,-0.019279220393277095
Artists2/Fernand Leger/Branch La Grande Branch.jpg,Fernand Leger,Branch La Grande Branch,https://uploads8.wikiart.org/images/fernand-leger/branch-la-grande-branch.jpg!Large.jpg,-0.011142816128949082,-0.02071406314183919
Artists2/Fernand Leger/Branches Logs 1955.jpg,Fernand Leger,Branches Logs 1955,https://uploads2.wikiart.org/images/fernand-leger/branches-logs-1955.jpg,-0.008149902332683069,-0.022188502623978628
