painting_id,motif,weight
painting::Artists2/Jan Siberechts/Crossing A Creek 1669.jpg,female-portraits,1
painting::Artists2/Jan Siberechts/The Wager 1665.jpg,female-portraits,1
painting::Artists2/Jan Siberechts/Delousing Scene Detail Of A Painting By Jan Siberechts Farmyard 1662.jpg,female-portraits,1
painting::Artists2/Jan Siberechts/Shepherdess.jpg,female-portraits,1
painting::Artists2/Gabriel Metsu/The Tippler The Wine Drinker 1657.jpg,female-portraits,1
painting::Artists2/Gabriel Metsu/The Apple Peeler 1657.jpg,female-portraits,1
painting::Artists2/Bartolome Esteban Murillo/Old Woman With A Hen.jpg,female-portraits,1
painting::Artists2/Bartolome Esteban Murillo/The Flower Girl 1670.jpg,female-portraits,1
painting::Artists2/Bartolome Esteban Murillo/Peasant Woman And A Boy.jpg,female-portraits,1
painting::Artists2/Bartolome Esteban Murillo/The Girl With A Coin Girl Of Galicia 1650.jpg,female-portraits,1
painting::Artists2/Gerard Terborch/Portrait Of A Lady.jpg,female-portraits,1
painting::Artists2/Gerard Terborch/Portrait Of Catarina Van Leunink.jpg,female-portraits,1
painting::Artists2/Bartolome Esteban Murillo/Old Woman With Distaff.jpg,female-portraits,1
painting::Artists2/Gerard Terborch/Girl In Peasant Costume Probably Gesina The Painter S Half Sister.jpg,female-portraits,1
painting::Artists2/Gerard Terborch/Helena Van Der Schalcke As A Child.jpg,female-portraits,1
painting::Artists2/Gerrit Dou/Woman Peeling Carrot.jpg,female-portraits,1
painting::Artists2/Adriaen Van Ostade/The Call.jpg,female-portraits,1
painting::Artists2/Rembrandt/Bust Of Young Woman Probably Saskia Van Uylenburgh 1633.jpg,female-portraits,1
painting::Artists2/Rembrandt/Hendrickje Stoffels In Velvet Beret.jpg,female-portraits,1
painting::Artists2/Rembrandt/Study Of Jewish Bride.jpg,female-portraits,1
painting::Artists2/Rembrandt/A Young Woman Trying On Earings.jpg,female-portraits,1
painting::Artists2/Rembrandt/Hendrickje At An Open Doo 1656.jpg,female-portraits,1
painting::Artists2/Rembrandt/Girl In The Window 1645.jpg,female-portraits,1
painting::Artists2/Rembrandt/A Young Woman With A Basket 1642.jpg,female-portraits,1
painting::Artists2/Rembrandt/Not_Detected_220255.jpg,female-portraits,1
painting::Artists2/Rembrandt/A Study For The Great Jewish Bride.jpg,female-portraits,1
painting::Artists2/Rembrandt/A Young Woman In Profile With A Fan 1632.jpg,female-portraits,1
painting::Artists2/Adriaen Van Ostade/Portrait Of A Family.jpg,female-portraits,1
painting::Artists2/Gerrit Dou/The Doctor.jpg,female-portraits,1
painting::Artists2/Gerrit Dou/Portrait Of A Woman.jpg,female-portraits,1
painting::Artists2/Gerrit Dou/Portrait Of A Couple In A Landscape.jpg,female-portraits,1
painting::Artists2/Gerrit Dou/Burgomaster Hasselaar And His Wife.jpg,female-portraits,1
painting::Artists2/Gerrit Dou/Anna And Blind Tobit.jpg,female-portraits,1
painting::Artists2/Gerrit Dou/The Grocery Shop 1672.jpg,female-portraits,1
painting::Artists2/Gerrit Dou/A Poulterer S Shop.jpg,female-portraits,1
painting::Artists2/Gerrit Dou/The Lady At Her Dressing Table 1667.jpg,female-portraits,1
painting::Artists2/Gerrit Dou/The Cook 1665.jpg,female-portraits,1
painting::Artists2/Gerrit Dou/Old Woman Watering Flowers 1665.jpg,female-portraits,1
painting::Artists2/Gerrit Dou/Old Woman Unreeling Threads 1665.jpg,female-portraits,1
painting::Artists2/Gerrit Dou/Dentist By Candlelight.jpg,female-portraits,1
painting::Artists2/Gerrit Dou/A Lady Playing The Clavichord.jpg,female-portraits,1
painting::Artists2/Gerrit Dou/The Dropsical Woman.jpg,female-portraits,1
painting::Artists2/Gerrit Dou/Old Woman With A Candle.jpg,female-portraits,1
painting::Artists2/Gerrit Dou/Grace Before Meat.jpg,female-portraits,1
painting::Artists2/Gerrit Dou/Woman In A Black Veil.jpg,female-portraits,1
painting::Artists2/Gerrit Dou/The Young Mother 1660.jpg,female-portraits,1
painting::Artists2/Gerrit Dou/Cardplayers At Candlelight.jpg,female-portraits,1
painting::Artists2/Gerrit Dou/The Young Mother 1658.jpg,female-portraits,1
painting::Artists2/Gerrit Dou/Old Woman Cutting Bread.jpg,female-portraits,1
painting::Artists2/Gerrit Dou/The Dutch Housewife Or The Woman Hanging A Cockerel In The Window 1650.jpg,female-portraits,1
painting::Artists2/Gerrit Dou/The Village Grocer 1647.jpg,female-portraits,1
painting::Artists2/Gerrit Dou/Girl Chopping Onions.jpg,female-portraits,1
painting::Artists2/Gerrit Dou/Portrait Of A Woman 1646.jpg,female-portraits,1
painting::Artists2/Gerrit Dou/The Bible Lesson Or Anne And Tobias.jpg,female-portraits,1
painting::Artists2/Gerrit Dou/Portrait Of An Old Woman 1645.jpg,female-portraits,1
painting::Artists2/Gerrit Dou/Woman Pouring Water Into A Jar.jpg,female-portraits,1
