node_id,node_type,label,degree
painting::Artists2/Georges Braque/Bird In The Foliage 1961.jpg,painting,Bird In The Foliage 1961,4
painting::Artists2/Georges Braque/Birds In The Clouds 1960.jpg,painting,Birds In The Clouds 1960,3
painting::Artists2/Georges Braque/Resurrection Of The Bird 1959.jpg,painting,Resurrection Of The Bird 1959,8
painting::Artists2/Georges Braque/Bird And It S Nest.jpg,painting,Bird And It S Nest,9
painting::Artists2/Georges Braque/At Sunset Bird Xvi 1958.jpg,painting,At Sunset Bird Xvi 1958,8
painting::Artists2/Georges Braque/Amaryllis 1958.jpg,painting,Amaryllis 1958,5
painting::Artists2/Georges Braque/Birds 1957.jpg,painting,Birds 1957,6
painting::Artists2/Georges Braque/A Bird Passing Through A Cloud 1957 1.jpg,painting,A Bird Passing Through A Cloud 1957 1,4
painting::Artists2/Georges Braque/A Bird Passing Through A Cloud 1957.jpg,painting,A Bird Passing Through A Cloud 1957,8
painting::Artists2/Georges Braque/Bird Returning To It S Nest 1956.jpg,painting,Bird Returning To It S Nest 1956,11
painting::Artists2/Georges Braque/The Window Shade.jpg,painting,The Window Shade,8
painting::Artists2/Georges Braque/The Studio Viii 1954.jpg,painting,The Studio Viii 1954,5
painting::Artists2/Georges Braque/The Studio Ix 1954.jpg,painting,The Studio Ix 1954,4
painting::Artists2/Georges Braque/The Echo.jpg,painting,The Echo,8
painting::Artists2/Georges Braque/The Birds 1953.jpg,painting,The Birds 1953,6
painting::Artists2/Georges Braque/Leaves In Color Of Light 1953.jpg,painting,Leaves In Color Of Light 1953,6
painting::Artists2/Georges Braque/Under The Lamp 1952.jpg,painting,Under The Lamp 1952,6
painting::Artists2/Georges Braque/A Landscape Drawn Into Squares.jpg,painting,A Landscape Drawn Into Squares,7
painting::Artists2/Georges Braque/The Studio Vi 1951.jpg,painting,The Studio Vi 1951,7
painting::Artists2/Georges Braque/The Aquarium 1951.jpg,painting,The Aquarium 1951,8
painting::Artists2/Georges Braque/Night 1951.jpg,painting,Night 1951,8
painting::Artists2/Georges Braque/The Studio Iv 1950.jpg,painting,The Studio Iv 1950,9
painting::Artists2/Georges Braque/Oysters 1950.jpg,painting,Oysters 1950,9
painting::Artists2/Georges Braque/The Studio V 1949.jpg,painting,The Studio V 1949,5
painting::Artists2/Georges Braque/The Studio Iii 1949.jpg,painting,The Studio Iii 1949,7
painting::Artists2/Georges Braque/The Studio Ii 1949.jpg,painting,The Studio Ii 1949,9
painting::Artists2/Georges Braque/The Studio I 1949.jpg,painting,The Studio I 1949,5
painting::Artists2/Georges Braque/The Terrace 1948.jpg,painting,The Terrace 1948,6
painting::Artists2/Georges Braque/The Chair 1948.jpg,painting,The Chair 1948,8
color::#bad46a,color,#bad46a,15
painting::Artists2/Georges Braque/Still Life With Lobster 1948.jpg,painting,Still Life With Lobster 1948,6
painting::Artists2/Georges Braque/Not_Detected_193676.jpg,painting,Not_Detected_193676,8
painting::Artists2/Georges Braque/Helios V Blue Violet 1948.jpg,painting,Helios V Blue Violet 1948,6
painting::Artists2/Georges Braque/The Glass Of Lilac 1946.jpg,painting,The Glass Of Lilac 1946,6
painting::Artists2/Georges Braque/The Blue Jug 1946.jpg,painting,The Blue Jug 1946,6
painting::Artists2/Georges Braque/Woman With Book 1945.jpg,painting,Woman With Book 1945,6
painting::Artists2/Georges Braque/Woman At The Mirror 1945.jpg,painting,Woman At The Mirror 1945,6
painting::Artists2/Georges Braque/Still Life With Flowers 1945 1.jpg,painting,Still Life With Flowers 1945 1,3
painting::Artists2/Georges Braque/Still Life With Flowers 1945.jpg,painting,Still Life With Flowers 1945,3
painting::Artists2/Georges Braque/The Salon 1944.jpg,painting,The Salon 1944,7
painting::Artists2/Georges Braque/The Billiard Table 1944.jpg,painting,The Billiard Table 1944,5
painting::Artists2/Georges Braque/A Pumpkin 1944.jpg,painting,A Pumpkin 1944,5
painting::Artists2/Georges Braque/The Sunflowers 1943.jpg,painting,The Sunflowers 1943,5
painting::Artists2/Georges Braque/The Green Napkin 1943.jpg,painting,The Green Napkin 1943,8
painting::Artists2/Georges Braque/Still Life With Stairs 1943.jpg,painting,Still Life With Stairs 1943,9
painting::Artists2/Georges Braque/Still Life With Skull.jpg,painting,Still Life With Skull,5
painting::Artists2/Georges Braque/The Wash Stand 1942.jpg,painting,The Wash Stand 1942,7
painting::Artists2/Georges Braque/The Blue Washbasin 1942.jpg,painting,The Blue Washbasin 1942,8
painting::Artists2/Georges Braque/The Black Fish 1942.jpg,painting,The Black Fish 1942,6
color::#232a28,color,#232a28,31
painting::Artists2/Georges Braque/Interior With Palette 1942.jpg,painting,Interior With Palette 1942,8
color::#1a2a15,color,#1a2a15,29
painting::Artists2/Georges Braque/Glass Pitcher And Lemons 1942.jpg,painting,Glass Pitcher And Lemons 1942,8
painting::Artists2/Georges Braque/Figure Double With Marine Background 1942.jpg,painting,Figure Double With Marine Background 1942,6
painting::Artists2/Georges Braque/A Red Pedestal 1942.jpg,painting,A Red Pedestal 1942,6
painting::Artists2/Georges Braque/A Man At The Easel 1942.jpg,painting,A Man At The Easel 1942,8
painting::Artists2/Georges Braque/Two Mullets 1941.jpg,painting,Two Mullets 1941,7
painting::Artists2/Georges Braque/My Bicycle 1941.jpg,painting,My Bicycle 1941,6
painting::Artists2/Georges Braque/Bottle And Fish 1941.jpg,painting,Bottle And Fish 1941,8
painting::Artists2/Georges Braque/Vanitas 1939.jpg,painting,Vanitas 1939,7
