color_hex,degree_centrality,weighted_degree,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank
#2a2328,0.554217,189,0.009796,0.691667,0.009515,0.005184
#d4b1cb,0.638554,188,0.015576,0.734513,0.01326,0.004966
#d42451,0.60241,188,0.019658,0.715517,0.01771,0.0046
#bab1d4,0.578313,184,0.015598,0.70339,0.01339,0.004734
#07102a,0.53012,171,0.007484,0.680328,0.010135,0.004521
#801631,0.60241,170,0.031792,0.715517,0.015031,0.004342
#152a25,0.578313,160,0.00877,0.70339,0.00747,0.004725
#07212a,0.518072,147,0.020906,0.674797,0.009015,0.004161
#806b7b,0.46988,147,0.007495,0.653543,0.007423,0.004605
#6a85d4,0.590361,143,0.021754,0.709402,0.009443,0.004099
#2a1525,0.518072,138,0.01135,0.674797,0.007748,0.004276
#804050,0.493976,125,0.015645,0.664,0.011806,0.003589
#668016,0.481928,125,0.0127,0.65873,0.010205,0.003713
#7b6b80,0.457831,124,0.018041,0.648438,0.00611,0.004179
#24a8d4,0.493976,122,0.013525,0.664,0.007812,0.003752
#1a152a,0.554217,117,0.017401,0.691667,0.006845,0.003909
#28232a,0.445783,117,0.013339,0.643411,0.006655,0.003874
#212a07,0.373494,113,0.011402,0.614815,0.009318,0.003509
#cbb1d4,0.53012,109,0.0341,0.680328,0.006021,0.003744
#504080,0.614458,107,0.02336,0.721739,0.007586,0.003647
#102a07,0.481928,101,0.013407,0.65873,0.007051,0.003606
#072a21,0.542169,100,0.020597,0.68595,0.005643,0.003634
#25152a,0.518072,89,0.052111,0.674797,0.003909,0.003517
#bad46a,0.457831,89,0.023514,0.648438,0.007539,0.003103
#408050,0.433735,88,0.013411,0.638462,0.005168,0.003315
#072a10,0.361446,65,0.029743,0.610294,0.00352,0.003057
#d46a85,0.373494,57,0.018274,0.614815,0.004165,0.002719
#2a0721,0.26506,56,0.011793,0.576389,0.003144,0.002699
