color_a,color_b,shared_paintings
#6abad4,#d4a824,4
#6abad4,#24a8d4,9
#6abad4,#b1d4cb,6
#6abad4,#405080,9
#6abad4,#6a85d4,6
#6abad4,#6b7b80,14
#6abad4,#b1bad4,4
#6abad4,#b1cbd4,24
#6abad4,#2a2515,4
#6abad4,#2a2523,2
#6abad4,#2a2823,1
#6abad4,#6b807b,3
#6abad4,#07102a,2
#6abad4,#151a2a,5
#6abad4,#15252a,9
#6abad4,#23252a,1
#6abad4,#803116,7
#6abad4,#805040,5
#6abad4,#d4856a,6
#6abad4,#d4ba6a,8
#6abad4,#d4cbb1,11
#6abad4,#2a1007,5
#6abad4,#d4b1cb,1
#6abad4,#804050,1
#6abad4,#668016,1
#6abad4,#801631,1
#6abad4,#166680,10
#6abad4,#807040,4
#6abad4,#d42451,1
#6abad4,#b1d4ba,1
#6abad4,#bad4b1,4
#6abad4,#cbd4b1,4
#6abad4,#807b6b,2
#6abad4,#163180,3
#6abad4,#152a1a,2
#6abad4,#508040,1
#6abad4,#6b7080,2
#6abad4,#2a0710,1
#6abad4,#806616,1
#6abad4,#07212a,2
#6abad4,#252a15,1
#6abad4,#2a2107,1
#6abad4,#6b8070,1
#6abad4,#70806b,1
#6abad4,#23282a,1
#6abad4,#152a25,2
#6abad4,#408050,1
#07102a,#163180,10
#07102a,#25152a,2
#07102a,#2a0710,4
#07102a,#2a1007,10
#07102a,#2a151a,4
#07102a,#405080,7
#07102a,#151a2a,19
#07102a,#23252a,4
#07102a,#805040,3
#07102a,#d45124,4
#07102a,#d4a824,6
#07102a,#d4cbb1,9
#07102a,#2a1525,1
#07102a,#2a1a15,4
#07102a,#d4856a,1
#07102a,#24a8d4,1
#07102a,#803116,7
#07102a,#166680,4
#07102a,#1a152a,2
#07102a,#6a85d4,2
#07102a,#15252a,8
#07102a,#b1cbd4,6
#07102a,#2a2523,6
#07102a,#806616,2
#07102a,#07212a,6
#07102a,#6b7b80,4
#07102a,#b1d4cb,2
#07102a,#cbb1d4,1
#07102a,#6b7080,1
#07102a,#b1bad4,2
#07102a,#072a21,1
#07102a,#d42451,2
#07102a,#6b807b,1
#07102a,#25232a,1
#07102a,#807040,2
#07102a,#d4ba6a,3
#07102a,#152a1a,1
#07102a,#2a2515,2
#07102a,#2a2823,1
#806b70,#23252a,3
#806b70,#25232a,3
#806b70,#6b7080,7
#806b70,#6b7b80,3
#806b70,#706b80,9
#806b70,#803116,4
#806b70,#805040,14
#806b70,#806616,1
#806b70,#807040,2
#806b70,#807b6b,5
#806b70,#7b6b80,8
#806b70,#806b7b,11
#806b70,#d4cbb1,13
#806b70,#6b8070,1
#806b70,#70806b,1
#806b70,#bad4b1,1
#806b70,#cbd4b1,1
#806b70,#d4b1ba,6
#806b70,#b1bad4,5
#806b70,#405080,4
#806b70,#cbb1d4,2
#806b70,#d4b1cb,1
#806b70,#28232a,4
#806b70,#2a151a,4
#806b70,#6a85d4,1
#806b70,#504080,1
#806b70,#801631,1
#806b70,#2a1007,9
#806b70,#2a1a15,10
#806b70,#2a1525,2
#806b70,#d4856a,6
#806b70,#2a0710,2
#806b70,#804050,2
#806b70,#d45124,3
#806b70,#d4a824,2
#806b70,#2a2523,7
#806b70,#508040,1
#806b70,#d4ba6a,2
#806b70,#2a2823,2
#806b70,#1a152a,1
#806b70,#23282a,1
#805040,#2a1a15,140
#805040,#2a2523,45
#805040,#2a2823,27
#805040,#807040,143
#805040,#807b6b,94
#805040,#d4ba6a,136
#805040,#d4cbb1,170
#805040,#803116,173
#805040,#806616,36
#805040,#d4a824,38
#805040,#15252a,19
#805040,#25152a,4
#805040,#2a151a,34
#805040,#2a1525,7
#805040,#d45124,97
#805040,#d4856a,179
#805040,#2a0710,23
#805040,#2a0721,1
