node_id,node_type,label,degree
painting::Artists2/Pieter Bruegel The Elder/Charity.jpg,painting,Charity,1
painting::Artists2/Pieter Bruegel The Elder/Prudence.jpg,painting,Prudence,1
painting::Artists2/Pieter Bruegel The Elder/Twelve Proverbs.jpg,painting,Twelve Proverbs,1
painting::Artists2/Pieter Bruegel The Elder/Netherlandish Proverbs 1559.jpg,painting,Netherlandish Proverbs 1559,1
painting::Artists2/Pieter Bruegel The Elder/The Fight Between Carnival And Lent 1559 1.jpg,painting,The Fight Between Carnival And Lent 1559 1,1
motif::battles-and-wars,motif,battles-and-wars,23
painting::Artists2/Hans Holbein The Younger/Presumed Portrait Of The Artist0S Wife.jpg,painting,Presumed Portrait Of The Artist0S Wife,1
painting::Artists2/Hans Holbein The Younger/Portrait Of Benedikt Von Hertenstein 1517.jpg,painting,Portrait Of Benedikt Von Hertenstein 1517,1
painting::Artists2/Hans Holbein The Younger/Adam And Eve 1517.jpg,painting,Adam And Eve 1517,4
motif::Eve,motif,Eve,20
motif::Adam,motif,Adam,41
motif::Old-Testament,motif,Old-Testament,37
painting::Artists2/Hans Holbein The Younger/Portrait Of A Boy With Blond Hair.jpg,painting,Portrait Of A Boy With Blond Hair,2
motif::children portraits,motif,children portraits,24
painting::Artists2/Hans Holbein The Younger/Head Of A Male Saint.jpg,painting,Head Of A Male Saint,2
motif::saints-and-apostles,motif,saints-and-apostles,524
painting::Artists2/Hans Holbein The Younger/Head Of A Female Saint.jpg,painting,Head Of A Female Saint,2
painting::Artists2/Hans Holbein The Younger/Title Page In The Form Of A Renaissance Niche 1516.jpg,painting,Title Page In The Form Of A Renaissance Niche 1516,1
motif::designs-and-sketches,motif,designs-and-sketches,213
painting::Artists2/Hans Holbein The Younger/St Barbara 1516.jpg,painting,St Barbara 1516,2
painting::Artists2/Hans Holbein The Younger/Portrait Of Jakob Meyer Zum Hasen 1516.jpg,painting,Portrait Of Jakob Meyer Zum Hasen 1516,2
painting::Artists2/Hans Holbein The Younger/Portrait Of Doprothea Meyer Nee Kannengiesser 1516.jpg,painting,Portrait Of Doprothea Meyer Nee Kannengiesser 1516,1
painting::Artists2/Hans Holbein The Younger/Portrait Of 34 Year Old Woman 1516.jpg,painting,Portrait Of 34 Year Old Woman 1516,1
painting::Artists2/Hans Holbein The Younger/Mayor Jakob Meyer Zum Hasen 1516.jpg,painting,Mayor Jakob Meyer Zum Hasen 1516,1
painting::Artists2/Hans Holbein The Younger/Dorothea Kannengiesser 1516.jpg,painting,Dorothea Kannengiesser 1516,1
painting::Artists2/Hans Holbein The Younger/George Nevill 3Rd Baron Bergavenny.jpg,painting,George Nevill 3Rd Baron Bergavenny,1
painting::Artists2/Hans Holbein The Younger/Apollo And The Muses On Parnassus 1533.jpg,painting,Apollo And The Muses On Parnassus 1533,1
painting::Artists2/Hans Holbein The Younger/Erasmus Of Rotterdam.jpg,painting,Erasmus Of Rotterdam,2
painting::Artists2/Hans Holbein The Younger/Sir Thomas Eliot.jpg,painting,Sir Thomas Eliot,2
painting::Artists2/Hans Holbein The Younger/Portrait Of An Englishwoman 1532.jpg,painting,Portrait Of An Englishwoman 1532,1
painting::Artists2/Hans Holbein The Younger/Portrait Of A Member Of The Wedigh Family 1532 1.jpg,painting,Portrait Of A Member Of The Wedigh Family 1532 1,1
painting::Artists2/Hans Holbein The Younger/Portrait Of A Member Of The Wedigh Family 1532.jpg,painting,Portrait Of A Member Of The Wedigh Family 1532,1
painting::Artists2/Hans Holbein The Younger/Portrait Of Desiderius Erasmus.jpg,painting,Portrait Of Desiderius Erasmus,2
painting::Artists2/Hans Holbein The Younger/Madonna Of The Burgermeister Meyer.jpg,painting,Madonna Of The Burgermeister Meyer,3
motif::Virgin-and-Child,motif,Virgin-and-Child,206
painting::Artists2/Hans Holbein The Younger/Thomas Godsalve Of Norwich And His Son John 1528.jpg,painting,Thomas Godsalve Of Norwich And His Son John 1528,1
painting::Artists2/Hans Holbein The Younger/Portrait Of Nicholas Kratzer 1528.jpg,painting,Portrait Of Nicholas Kratzer 1528,1
painting::Artists2/Hans Holbein The Younger/Portrait Of Jakob Meyer Zum Hasen Mayor Of Basel 1528.jpg,painting,Portrait Of Jakob Meyer Zum Hasen Mayor Of Basel 1528,2
painting::Artists2/Hans Holbein The Younger/Study For The Family Portrait Of Thomas More.jpg,painting,Study For The Family Portrait Of Thomas More,1
painting::Artists2/Hans Holbein The Younger/Lady Butts.jpg,painting,Lady Butts,1
painting::Artists2/Hans Holbein The Younger/Edward Prince Of Wales 1543.jpg,painting,Edward Prince Of Wales 1543,1
painting::Artists2/Hans Holbein The Younger/Duke Anton The Good Of Lorraine 1543.jpg,painting,Duke Anton The Good Of Lorraine 1543,1
painting::Artists2/Hans Holbein The Younger/Portrait Of Henry Viii.jpg,painting,Portrait Of Henry Viii,1
painting::Artists2/Hans Holbein The Younger/Self Portrait 1542.jpg,painting,Self Portrait 1542,2
painting::Artists2/Hans Holbein The Younger/Portrait Of Nobleman With A Falcon 1542.jpg,painting,Portrait Of Nobleman With A Falcon 1542,2
motif::birds,motif,birds,18
painting::Artists2/Hans Holbein The Younger/Henry Howard Earl Of Surrey.jpg,painting,Henry Howard Earl Of Surrey,1
painting::Artists2/Hans Holbein The Younger/Portrait Of Henry Brandon.jpg,painting,Portrait Of Henry Brandon,2
painting::Artists2/Hans Holbein The Younger/Unknown Young Man At His Office Desk.jpg,painting,Unknown Young Man At His Office Desk,1
painting::Artists2/Hans Holbein The Younger/Portrait Of Charles Brandon 1541.jpg,painting,Portrait Of Charles Brandon 1541,2
painting::Artists2/Hans Holbein The Younger/Portrait Of Catarina Howard.jpg,painting,Portrait Of Catarina Howard,1
painting::Artists2/Hans Holbein The Younger/Portrait Of An Unknown Lady.jpg,painting,Portrait Of An Unknown Lady,1
painting::Artists2/Hans Holbein The Younger/Henry Viii Handing Over A Charter To Thomas Vicary Commemorating The Joining Of The Barbers And 1541.jpg,painting,Henry Viii Handing Over A Charter To Thomas Vicary Commemorating The Joining Of The Barbers And 1541,1
painting::Artists2/Hans Holbein The Younger/Edward Prince Of Wales With Monkey.jpg,painting,Edward Prince Of Wales With Monkey,2
painting::Artists2/Hans Holbein The Younger/De Vos Van Steenwijk.jpg,painting,De Vos Van Steenwijk,1
painting::Artists2/Hans Holbein The Younger/Portrait Of Margaret Wyatt Lady Lee 1540.jpg,painting,Portrait Of Margaret Wyatt Lady Lee 1540,1
